Run,median_rt_drift_min
James_0_S22,-0.25530624
James_0_S23,-0.878026
James_0_S24,-1.1793804
James_100_S1,0.0016946793
James_100_S2,-0.3184204
James_100_S3,-0.52663803
James_20_S19,0.6019268
James_20_S20,0.13400269
James_20_S21,-0.044836998
James_40_S16,0.6990442
James_40_S17,0.26579857
James_40_S18,-0.12308693
James_60_S13,0.6668415
James_60_S14,0.19260979
James_60_S15,-0.20589256
James_80_S10,0.59856606
James_80_S11,0.0036916733
James_80_S12,-0.05364418
James_90_S7,0.4861946
James_90_S8,0.033704758
James_90_S9,-0.17280006
James_95_S4,0.3666706
James_95_S5,-0.031929255
James_95_S6,-0.25876904
